-1,-2,-3,-4,-5,-6,-7,-8
1,cereal,184.52,128.59,122.18,154.92,193.19,175.73
2,gram,5.82,2.38,4.59,6.47,3.1,3.32
3,cereal substitutes,0,0.24,0,0,0,0.01
4,pulses and pulse products,30.51,48.02,37.91,53.13,40.56,27.18
5,milk and milk products,160.18,193.66,460.19,231.08,196.89,50.63
6,sugar,28.58,31.84,54.55,29.81,16.04,15.95
7,salt,2.69,1.53,2.91,1.46,4.45,2.47
8,edible oil,47.91,79.53,37.8,47.58,70.58,38.77
9,"egg, fish & meat",203.36,16.47,8.92,35.16,60.63,34.1
10,vegetables,53.69,75.24,75.11,59.5,67.72,59.86
11,fruits (fresh),119.69,18.4,32.21,22.54,21.09,7.55
12,fruits (dry),3.07,4.39,6.21,8.15,3.83,0.99
13,spices,37.8,34.05,29.42,29.47,35.94,20.86
14,"beverages, refreshments, etc.",127.23,79.34,88.1,106.32,74.19,56.97
15,food: total (1-14),1005.04,713.67,960.12,785.6,788.22,494.39
16,"pan, tobacco & intoxicants",11.02,34.26,25.61,46.54,19.04,21.86
17,fuel and light,157.12,137.88,155.98,156.65,137.5,96.13
18,clothing & bedding,166.38,74.97,100.28,124.07,129.24,69.25
19,footwear,79.09,21.53,38.33,45.29,41.9,12.39
20,education,58.36,14.26,108.66,106.28,59.45,17.02
21,medical (institutional),18.35,48.04,20.42,27.53,10.94,1.89
22,medical (non-institutional),93.92,49.27,68.99,73.87,56.88,30.95
23,entertainment,67.09,20.6,20.75,24.3,16.93,8.79
24,minor durable-type goods,22.37,6.91,3.12,4.07,6.46,3.96
25,toilet articles,75.05,31.39,41.22,39.92,28.13,21.59
26,other household consumables,49.89,29.39,40.72,37.06,30.97,21.92
27,consum. services excl. conveyance,133.5,67.02,77.33,90.38,75.07,42.93
28,conveyance,294.92,80.08,112.16,105.04,101.28,30.11
29,rent,28.55,4.98,9.13,11.7,4.31,4.23
30,taxes & cesses,28.1,5.61,2.52,2.85,3.41,0.82
31,durable goods,169.49,120.76,96.69,177.39,72.84,19.65
32,non-food: total (16-31),1453.2,746.95,921.9,1072.93,794.33,403.5
33,total expenditure (15+32),2458.24,1460.62,1882.02,1858.52,1582.55,897.89
34,cooked meals recd. free in workpl.*,4.83,0.94,6.16,2.85,1.3,0.72
35,cooked meals recd. as assistance *,14.3,19.85,5.81,27.61,8,24.22
36,clothing & footwear (2nd hand) **,2.95,1.25,0.06,0.17,0.93,0
37,"books, journals, etc. (2nd hand) @",0.09,0.32,1.01,0.04,0.13,0.18
38,durables (2nd hand) $,0,0.57,1.11,1.27,0.2,0.28
