"(1)",(2),(3),(4),(5),(6),(7),(8)
1.,cereal,117.72,131.54,142.08,152.98,160.75,169.11
2.,gram,0.98,1.08,1.72,2.09,2.30,2.87
3.,cereal substitutes,0.18,0.58,0.63,0.80,1.31,1.67
4.,pulses and pulse products,28.20,34.56,38.23,42.27,46.09,50.28
5.,milk and milk products,38.66,65.40,88.08,112.50,135.67,155.31
6.,sugar,14.57,18.72,20.93,23.40,26.13,27.01
7.,salt,1.93,2.14,2.35,2.51,2.60,2.72
8.,edible oil,34.52,41.79,46.56,52.64,57.74,62.85
9.,"egg, fish & meat",21.74,30.38,39.84,49.35,55.95,61.43
10.,vegetables,43.28,49.07,57.24,64.19,69.87,76.95
11.,fruits (fresh),5.68,8.79,13.74,20.44,24.59,30.99
12.,fruits (dry),1.53,3.14,4.09,5.40,7.28,9.09
13.,spices,18.45,23.18,27.12,30.36,32.93,35.75
14.,"beverages, refreshments, etc.",38.84,46.17,59.58,75.73,86.98,102.58
15.,food: total (1-14),366.28,456.52,542.19,634.66,710.19,788.60
16,"pan, tobacco & intoxicants",14.71,19.03,19.70,23.80,26.17,30.00
17.,fuel and light,83.03,101.05,115.26,128.75,142.99,157.48
18.,clothing & bedding,20.60,27.08,37.20,50.14,59.56,72.29
19.,footwear,5.35,7.12,9.89,12.42,15.01,19.18
20.,education,15.09,19.42,27.48,39.32,54.57,68.81
21.,medical (institutional),0.96,0.20,0.85,1.68,4.69,5.04
22.,medical (non-institutional),20.77,28.99,35.92,46.64,59.62,67.96
23.,entertainment,5.93,10.47,15.40,20.83,25.27,31.28
24.,minor durable-type goods,1.09,1.48,2.06,3.09,3.63,3.83
25.,toilet articles,19.13,24.07,29.30,35.08,41.51,47.26
26.,other household consumables,14.92,19.27,24.72,29.45,34.16,40.57
27.,consum. services excl. conveyance,23.76,31.82,42.42,55.31,65.67,79.96
28.,conveyance,12.17,20.45,34.61,53.85,76.82,96.43
29.,rent,6.33,13.85,22.97,32.00,48.46,73.01
30.,taxes & cesses,3.16,5.06,7.16,9.17,11.85,14.82
31.,durable goods,4.40,9.89,11.36,15.85,20.68,35.65
32.,non-food: total (16-31),251.41,339.26,436.31,557.38,690.67,843.56
33.,total expenditure (15+32),617.69,795.78,978.50,1192.04,1400.87,1632.16
34.,cooked meals recd. free in workpl.*,0.44,0.41,0.95,1.47,1.36,2.50
35.,cooked meals recd. as assistance *,12.85,11.76,10.60,11.72,10.20,7.23
36.,clothing & footwear (2nd hand) **,0.23,0.56,0.34,0.42,0.42,0.22
37.,"books, journals, etc. (2nd hand) @",0.27,0.29,0.31,0.38,0.43,0.50
38.,durables (2nd hand) $,0.01,0.21,0.43,0.15,0.56,0.80
