-1,-2,-3,-4,-5,-6,-7,-8
1,cereal,165.85,115.19,181.99,145.97,159.52,153.13
2,gram,11.76,5.46,7.18,8.32,8.63,2.15
3,cereal substitutes,0,0,0.1,4.36,0,0.88
4,pulses and pulse products,94.4,67.3,78.54,54.28,70.95,39.73
5,milk and milk products,312.13,21.75,126.28,63.8,135.41,116.13
6,sugar,32.99,6.57,19.91,42.87,18.93,23.64
7,salt,4.31,1.61,2.34,2.48,3.81,2.46
8,edible oil,65,53.82,109.54,66.68,63.04,48.22
9,"egg, fish & meat",22.93,38.35,109.25,394.05,127.57,45.62
10,vegetables,73.32,66.69,136.88,73.41,91.59,61.88
11,fruits (fresh),28.98,13.07,30.01,120.45,42.36,19.18
12,fruits (dry),6.02,0.53,4.44,8.43,3.44,5.59
13,spices,30.22,30.32,55.93,61.77,73.17,28.78
14,"beverages, refreshments, etc.",118.53,66.13,124.01,282.35,192.53,74.59
15,food: total (1-14),966.43,486.77,986.41,1329.21,990.93,621.96
16,"pan, tobacco & intoxicants",28.73,39.24,118.61,52.56,38.7,30.1
17,fuel and light,240.12,118.01,185.41,143.69,118.89,118.26
18,clothing & bedding,124.65,21.74,172.57,124.56,61.21,80.33
19,footwear,31.91,9.04,80.46,20.22,12.06,16.83
20,education,63.39,5.76,66.55,11.8,69.56,39.84
21,medical (institutional),1.36,0,0,4.34,273.06,23.15
22,medical (non-institutional),77.56,36.25,56.18,26.37,121.88,64.52
23,entertainment,36.1,15.28,46.8,20.88,36.86,14.24
24,minor durable-type goods,2.63,1.22,4.81,0.98,3.16,4.33
25,toilet articles,83.99,27.55,59.5,43.53,62.5,30.67
26,other household consumables,47.01,19.39,45.56,40.08,75,28.18
27,consum. services excl. conveyance,113.21,47.09,136.08,93.19,85.97,57.57
28,conveyance,208.44,80.88,127,131.52,174.01,60.92
29,rent,303.33,23.25,109.22,71.06,118.51,6.31
30,taxes & cesses,24.23,1.44,5.63,0.11,7.97,3.59
31,durable goods,15.84,49.62,76.84,811.92,37.32,78.14
32,non-food: total (16-31),1402.49,495.76,1291.24,1596.82,1296.68,656.98
33,total expenditure (15+32),2368.93,982.53,2277.65,2926.03,2287.61,1278.94
34,cooked meals recd. free in workpl.*,3.54,0.4,0.02,0.47,8.01,1.61
35,cooked meals recd. as assistance *,0,11.55,6.44,60.87,17.81,16.49
36,clothing & footwear (2nd hand) **,0,0,0.08,0,0,0.28
37,"books, journals, etc. (2nd hand) @",0,0,0,0,0,0.26
38,durables (2nd hand) $,0,0,0,0,0,3.12
