"(1)",(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13),(14),(15),(16),(17)
Rajasthan,23,42,87,129,118,128,107,112,89,88,54,23,1000,2205.18,145480,1549
Sikkim,0,11,10,28,65,159,184,172,207,87,48,30,1000,2429.30,862,160
Tamil Nadu,20,30,88,104,95,101,129,112,117,108,55,40,1000,2379.96,301540,3328
Tripura,38,38,178,155,92,71,117,83,106,92,24,7,1000,1857.19,5397,544
Uttar Pradesh,135,103,176,131,90,72,70,55,41,45,27,55,1000,1889.85,391306,3099
Uttarakhand,14,41,132,108,109,79,117,98,104,108,39,51,1000,2540.29,24161,735
West Bengal,52,62,110,111,93,80,86,88,126,89,49,52,1000,2443.63,226574,2747
A&N Islands,0,0,1,2,3,30,96,133,197,272,101,164,1000,4547.27,1248,287
Chandigarh,30,10,117,100,77,60,124,83,83,131,108,77,1000,3351.52,9093,248
Dadra & N. Haveli,4,37,123,236,30,90,82,159,60,98,20,61,1000,2314.59,1266,96
Daman Diu,0,87,68,124,99,157,85,97,93,181,8,0,1000,2040.48,609,64
Lakshadweep,0,5,76,63,49,113,196,164,144,104,34,51,1000,2531.69,269,127
Puducherry,3,5,28,36,65,120,177,167,139,145,93,23,1000,2646.46,7556,448
All-India,50,50,101,99,100,101,99,100,100,100,50,50,1000,2399.24,3168541,41967
