"(1)",(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13),(14),(15),(16),(17)
Rajasthan,24,26,39,54,72,64,145,151,138,160,79,48,1000,1432.55,468901,2579
Sikkim,0,1,24,40,81,123,128,214,157,118,76,39,1000,1388.21,4101,608
Tamil Nadu,11,12,57,88,78,96,120,128,119,146,76,71,1000,1504.82,374946,3319
Tripura,16,35,101,142,129,121,119,112,99,77,34,14,1000,1109.97,29642,1312
Uttar Pradesh,77,70,141,130,122,104,96,77,66,66,27,23,1000,1046.81,1442912,5916
Uttarakhand,0,1,51,61,92,108,144,125,134,135,70,78,1000,1553.76,71516,1048
West Bengal,34,44,120,128,111,114,103,103,93,93,32,26,1000,1143.18,624686,3568
A&N Islands,0,0,2,17,29,61,43,44,109,231,172,292,1000,2457.27,2104,279
Chandigarh,0,0,16,0,0,0,0,60,155,293,229,247,1000,2368.93,705,64
Dadra & N. Haveli,115,235,109,157,60,28,25,109,21,80,24,36,1000,982.53,1768,96
Daman Diu,0,0,0,0,0,15,0,0,203,372,112,298,1000,2277.65,963,64
Lakshadweep,0,0,0,0,0,0,31,114,152,190,215,299,1000,2926.03,267,64
Puducherry,19,0,2,17,5,42,77,30,101,322,194,190,1000,2287.61,3910,128
All-India,50,51,97,101,103,97,99,101,102,99,50,50,1000,1278.94,7921159,59695
