"(1)",(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13),(14),(15),(16),(17)
Rajasthan,16,23,31,40,66,73,121,155,162,186,78,49,1000,1445.74,468901,2579
Sikkim,0,0,5,36,58,109,168,164,192,148,70,50,1000,1445.06,4101,608
Tamil Nadu,5,12,38,66,88,83,103,116,142,157,103,89,1000,1570.61,374946,3319
Tripura,9,9,76,112,123,129,143,122,113,102,45,18,1000,1194.14,29642,1312
Uttar Pradesh,50,62,133,131,118,123,102,92,67,70,30,22,1000,1072.93,1442912,5916
Uttarakhand,1,1,20,49,82,104,130,145,141,178,65,85,1000,1551.42,71516,1048
West Bengal,24,42,90,118,122,116,110,116,111,86,41,25,1000,1170.11,624686,3568
A&N Islands,0,0,2,13,0,28,66,45,103,207,229,306,1000,2508.19,2104,279
Chandigarh,0,0,0,16,0,0,0,51,142,248,194,349,1000,2543.57,705,64
Dadra & N. Haveli,82,30,287,133,93,51,93,11,52,58,56,52,1000,1094.20,1768,96
Daman Diu,0,0,0,0,0,0,15,0,145,415,135,290,1000,2239.45,963,64
Lakshadweep,0,0,0,0,0,0,1,44,188,284,159,324,1000,2533.07,267,64
Puducherry,19,0,0,2,17,15,79,48,72,254,252,242,1000,2309.92,3910,128
All-India,36,41,90,99,101,101,101,107,109,110,54,51,1000,1287.17,7921159,59695
