"(1)",(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12)
Andhra Pradesh,911,1082,1285,1476,1717,2014,2221,2596,3220,4134,5365
Arunachal Pradesh,638,846,1066,1250,1552,1867,2200,2533,3166,4098,4940
Assam,700,817,986,1187,1355,1581,1732,2062,2667,3685,5116
Bihar,566,650,750,899,1030,1211,1340,1565,1881,2235,2978
Chhattisgarh,493,598,710,814,982,1168,1371,1776,2198,3111,3807
Delhi,904,1105,1342,1590,1894,2113,2546,3181,3949,5474,7027
Goa,1233,1339,1550,1987,2268,2583,2839,3073,3498,4092,5625
Gujarat,943,1112,1349,1544,1753,2010,2320,2592,3151,3760,4567
Haryana,925,1107,1408,1685,2014,2303,2742,3161,3941,6118,9473
Himachal Pradesh,1069,1214,1594,1837,2171,2563,2827,3199,3665,5051,6528
Jammu & Kashmir,897,992,1190,1419,1611,1829,2126,2579,3208,3949,5100
Jharkhand,614,702,876,1039,1257,1426,1656,1986,2599,3288,4683
Karnataka,740,868,1151,1368,1596,1906,2278,2751,3635,5782,8844
Kerala,907,1034,1254,1458,1684,1962,2372,2934,3616,5290,7740
Madhya Pradesh,646,743,868,1028,1167,1341,1529,1798,2324,3605,4829
Maharashtra,921,1064,1351,1560,1732,1994,2298,2721,3351,4785,6740
Manipur,750,795,1003,1112,1190,1285,1366,1477,1673,2038,2493
Meghalaya,911,1079,1352,1605,1794,2005,2207,2485,2859,3247,3611
Mizoram,1014,1201,1400,1607,1823,2062,2349,2601,3029,3891,4523
Nagaland,1052,1129,1319,1577,1909,2247,2411,2816,3229,4009,4714
Odisha,616,680,855,979,1097,1318,1545,1885,2500,3311,4120
Punjab,925,1075,1354,1594,1883,2129,2413,2768,3202,4443,5899
Rajasthan,828,961,1155,1322,1510,1706,1935,2297,2795,3734,5083
Sikkim,1289,1446,1659,1790,1986,2188,2338,2637,2794,3454,4612
Tamil Nadu,856,1006,1203,1415,1649,1905,2150,2522,3107,4107,5465
Tripura,789,911,1044,1142,1270,1506,1856,2124,2590,3380,3813
Uttar Pradesh,595,682,814,948,1067,1201,1429,1740,2191,3571,6456
Uttarakhand,849,1010,1121,1301,1501,1815,2068,2472,3029,3895,6051
West Bengal,715,831,1033,1219,1430,1733,2092,2535,3030,4327,6078
A&N Islands,1800,1990,2290,2547,2887,3222,3642,3968,5179,7071,10154
Chandigarh,851,914,1157,1417,1764,1972,2431,3222,3967,5525,6800
Dadra & N. Haveli,861,1011,1098,1144,1283,1691,2001,2263,2646,3653,7046
Daman Diu,810,859,1170,1297,1563,1732,1911,2369,2940,3852,4107
Lakshadweep,1038,1176,1510,1689,1934,2045,2225,2582,2958,4140,6120
Puducherry,1150,1372,1595,1846,2032,2183,2452,2887,3517,4424,5055
All-India,727,861,1089,1296,1510,1758,2070,2459,3068,4279,6014
