"(1)",(2),(3),(4),(5),(6),(7),(8),(9)
1.,cereal,156.17,161.25,169.47,175.97,185.84,202.27,153.13
2.,gram,1.84,2.43,2.65,3.23,4.08,5.89,2.15
3.,cereal substitutes,0.92,1.01,1.28,1.69,1.81,2.93,0.88
4.,pulses and pulse products,40.28,42.84,46.43,49.87,55.72,64.63,39.73
5.,milk and milk products,106.44,129.95,152.74,196.41,248.28,333.81,116.13
6.,sugar,23.63,26.11,29.06,33.31,37.50,44.89,23.64
7.,salt,2.48,2.58,2.75,2.85,3.07,3.34,2.46
8.,edible oil,50.01,52.05,57.66,60.70,66.28,73.35,48.22
9.,"egg, fish & meat",44.51,49.74,56.97,65.55,79.71,117.69,45.62
10.,vegetables,61.68,64.62,71.87,77.02,85.65,97.02,61.88
11.,fruits (fresh),15.77,19.68,25.57,32.61,47.15,68.88,19.18
12.,fruits (dry),5.13,6.32,7.69,9.38,14.00,19.37,5.59
13.,spices,28.81,31.40,35.40,38.04,43.62,51.95,28.78
14.,"beverages, refreshments, etc.",67.00,75.46,84.98,98.77,118.75,235.70,74.59
15.,food: total (1-14),604.67,665.44,744.52,845.39,991.46,1321.73,621.96
16,"pan, tobacco & intoxicants",31.61,32.29,38.40,44.38,53.28,65.07,30.10
17.,fuel and light,115.69,125.96,139.61,153.82,172.74,208.93,118.26
18.,clothing & bedding,82.36,90.94,102.30,118.60,146.03,195.48,86.78
19.,footwear,13.97,15.96,18.04,21.33,26.35,35.26,14.70
20.,education,31.52,43.74,51.94,83.14,132.19,283.49,50.69
21.,medical (institutional),13.16,18.40,24.79,46.27,92.27,244.15,30.31
22.,medical (non-institutional),49.42,59.11,76.24,102.85,140.83,265.96,64.52
23.,entertainment,12.14,15.70,19.58,24.76,33.44,51.03,14.24
24.,minor durable-type goods,3.89,4.32,5.10,6.16,9.26,12.29,4.33
25.,toilet articles,29.63,33.52,38.13,43.57,51.78,66.22,30.67
26.,other household consumables,26.29,30.35,35.88,41.62,51.77,68.77,28.18
27.,consum. services excl. conveyance,50.49,59.10,70.70,85.92,109.63,189.09,57.57
28.,conveyance,41.27,53.77,72.45,111.08,168.51,294.55,60.92
29.,rent,2.00,2.61,4.36,10.59,18.21,63.91,6.31
30.,taxes & cesses,3.22,4.15,4.99,6.43,8.69,12.79,3.59
31.,durable goods,28.41,36.82,50.17,76.88,126.65,586.46,64.03
32.,non-food: total (16-31),535.08,626.72,752.68,977.39,1341.63,2643.46,665.21
33.,total expenditure (15+32),1139.75,1292.16,1497.19,1822.78,2333.09,3965.18,1287.17
34.,cooked meals recd. free in workpl.*,0.97,1.48,1.19,2.03,3.59,10.11,1.61
35.,cooked meals recd. as assistance *,17.82,17.94,16.05,11.71,7.06,7.44,16.49
36.,clothing & footwear (2nd hand) **,0.36,0.34,0.44,0.32,0.38,0.23,0.43
37.,"books, journals, etc. (2nd hand) @",0.25,0.31,0.17,0.51,0.31,0.47,0.26
38.,durables (2nd hand) $,0.66,0.97,1.65,2.69,4.51,16.30,1.89
