-1,-2,-3,-4,-5,-6,-7,-8
1,cereal,169.02,309.5,166.55,121.9,127.86,151.46
2,gram,0.56,0.1,0.57,6.94,0.55,0.7
3,cereal substitutes,0.96,0.06,0.01,0,0.08,0.55
4,pulses and pulse products,33.9,22.23,32.32,42.84,28.52,29.45
5,milk and milk products,43.66,92.08,27.07,330.94,257.77,137.29
6,sugar,17.37,13.13,12.73,62.61,35.38,11.79
7,salt,3.72,2.74,2.93,2.84,2.49,2.36
8,edible oil,42.93,14.89,31.56,58.9,48.43,61.68
9,"egg, fish & meat",122.1,153.95,39.32,9.66,13.03,78.97
10,vegetables,120.35,108.02,68.64,78.68,49.82,93.47
11,fruits (fresh),11.87,19.4,11.76,26.11,16.49,10.53
12,fruits (dry),0.33,0.41,0.55,6.88,5.58,0.57
13,spices,16.7,19.66,22.05,34.69,33.68,19.91
14,"beverages, refreshments, etc.",67.54,63.05,54.24,111.22,70,118.71
15,food: total (1-14),651,819.21,470.3,894.22,689.68,717.44
16,"pan, tobacco & intoxicants",115.46,55.28,19.15,25.16,43.96,53.71
17,fuel and light,136.95,157.25,110.27,234.19,150.6,117.44
18,clothing & bedding,110.67,142.54,67.08,139.73,96.55,155.4
19,footwear,49.48,42.16,7.79,30.92,20.43,41.69
20,education,31.76,155.44,22.25,133.46,64.81,56.53
21,medical (institutional),2.29,4.96,15.09,65.44,25.28,3.26
22,medical (non-institutional),20.59,15.09,44.52,132.27,65.87,11.93
23,entertainment,18.45,33.72,8.88,21.94,10.28,39.07
24,minor durable-type goods,9.63,16.74,3.97,4.08,3.93,5.56
25,toilet articles,41.16,47.96,22.4,47.69,31.7,24.68
26,other household consumables,22.49,27.51,18.24,51.83,33.77,19.06
27,consum. services excl. conveyance,91.98,93.55,28.33,94.66,77.15,55.42
28,conveyance,50,83.52,23.18,141.52,78.87,73.42
29,rent,4.44,4.28,1.55,7.03,3.36,23.54
30,taxes & cesses,3.42,2.36,0.7,8.53,2.84,1.66
31,durable goods,24.67,55.15,41.1,103.73,46.65,45.25
32,non-food: total (16-31),733.44,937.49,434.49,1242.18,756.06,727.61
33,total expenditure (15+32),1384.44,1756.7,904.78,2136.39,1445.74,1445.06
34,cooked meals recd. free in workpl.*,0.23,0.09,0.82,2.92,0.93,1.34
35,cooked meals recd. as assistance *,20.48,0.76,12.74,19.21,14.36,35.04
36,clothing & footwear (2nd hand) **,7.07,19.83,0.13,0.63,0.21,2.14
37,"books, journals, etc. (2nd hand) @",0.52,0.08,0.17,1.2,0.3,0
38,durables (2nd hand) $,0.89,0.17,0.93,5.1,2.32,0.2
