"(1)",(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12)
Andhra Pradesh,1024,1180,1509,1725,1963,2217,2539,2975,3600,4359,5771
Arunachal Pradesh,708,895,1163,1452,1766,2090,2499,3004,3671,5115,6693
Assam,786,867,1062,1313,1546,1824,2079,2292,2933,3899,5324
Bihar,621,705,868,971,1111,1217,1374,1643,1993,2626,3407
Chhattisgarh,617,700,855,1046,1178,1393,1684,1974,2461,3362,4635
Delhi,1192,1316,1656,1904,2148,2454,2860,3510,4337,6431,7865
Goa,1203,1505,1695,1983,2275,2702,3098,3398,4142,5060,5900
Gujarat,1035,1198,1449,1720,1970,2267,2486,2870,3256,4127,5137
Haryana,1048,1384,1735,1989,2273,2629,3034,3493,4419,7795,10741
Himachal Pradesh,1146,1452,1872,2184,2480,2717,3101,3659,4402,5526,6588
Jammu & Kashmir,959,1115,1356,1605,1835,2032,2362,2752,3258,4210,5389
Jharkhand,687,833,1048,1229,1473,1758,1987,2231,2698,3371,4152
Karnataka,886,1023,1274,1498,1804,2222,2673,3159,3580,5350,8071
Kerala,1044,1238,1464,1735,1988,2363,2712,3220,4086,5865,8741
Madhya Pradesh,704,812,961,1149,1309,1543,1795,2148,2681,3845,5061
Maharashtra,1118,1334,1652,1865,2131,2432,2767,3258,3907,5384,7407
Manipur,776,806,1055,1184,1264,1360,1443,1519,1816,2265,2676
Meghalaya,999,1224,1670,1920,2091,2264,2401,2589,3054,3712,4408
Mizoram,1121,1258,1643,1899,2155,2426,2597,2925,3410,4066,4612
Nagaland,1049,1207,1314,1596,1858,2153,2422,2722,3086,3517,4172
Odisha,598,754,906,1146,1268,1412,1727,2114,2649,3744,4938
Punjab,1030,1257,1518,1785,2004,2263,2573,3086,3651,4599,6570
Rajasthan,900,1086,1344,1538,1745,1974,2220,2457,3022,4154,5555
Sikkim,1273,1505,1841,1991,2139,2353,2479,2836,3410,3960,4968
Tamil Nadu,975,1121,1369,1609,1857,2064,2401,2803,3411,4586,6223
Tripura,923,1002,1156,1366,1489,1741,2098,2477,2869,3664,4288
Uttar Pradesh,677,780,936,1094,1230,1428,1690,2012,2534,3662,5700
Uttarakhand,838,1021,1243,1418,1737,1962,2251,2541,3105,4042,5400
West Bengal,808,943,1165,1398,1692,1952,2290,2703,3435,4757,6581
A&N Islands,1793,2158,2534,2823,3242,3626,3887,4281,5634,8291,13873
Chandigarh,931,1161,1442,1809,2066,2380,3144,3699,4270,7000,9445
Dadra & N. Haveli,1060,1124,1573,1837,2020,2106,2334,2476,3359,5382,5563
Daman Diu,878,1089,1482,1921,2113,2283,2347,2387,2671,4184,4590
Lakshadweep,1261,1567,1643,1930,2055,2327,2711,3192,3851,5468,6435
Puducherry,1242,1469,1842,2142,2461,2716,3040,3390,4028,5064,6334
All-India,827,983,1239,1490,1757,2019,2349,2771,3390,4610,6383
