"(1)",(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13),(14),(15),(16),(17)
Rajasthan,10,26,70,69,109,122,137,158,108,96,57,38,1000,2442.40,141982,1552
Sikkim,0,5,17,26,55,70,169,240,175,177,60,5,1000,2607.87,999,160
Tamil Nadu,9,18,60,83,94,95,143,117,135,132,61,54,1000,2622.18,300012,3327
Tripura,11,24,122,116,137,92,87,101,145,111,31,22,1000,2144.45,5518,544
Uttar Pradesh,68,81,144,145,94,90,95,71,73,58,40,42,1000,2051.22,396388,3099
Uttarakhand,37,27,57,112,86,91,143,133,107,119,47,40,1000,2338.99,25452,734
West Bengal,19,47,100,90,84,77,117,107,115,121,63,60,1000,2591.04,228248,2746
A&N Islands,0,0,0,0,24,16,43,113,173,318,140,172,1000,4641.92,1257,288
Chandigarh,8,26,42,77,68,59,116,119,62,224,80,119,1000,3357.05,8908,248
Dadra & N. Haveli,0,7,79,19,49,92,190,250,47,130,97,41,1000,2671.34,1378,94
Daman Diu,0,28,73,6,105,30,125,331,116,82,102,0,1000,2388.42,576,64
Lakshadweep,0,0,0,57,26,157,182,130,116,150,124,60,1000,3287.20,257,128
Puducherry,1,6,11,50,40,71,99,119,217,217,108,61,1000,3215.85,7342,448
All-India,25,34,78,86,85,93,116,112,124,129,62,56,1000,2629.65,3160173,41968
