"(1)",(2),,(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13),(14),(15),(16),(17)
Andhra Pradesh,4,,11,54,67,65,122,117,132,142,175,65,45,1000,2685.09,264443,2971
Arunachal Pradesh,60,,33,86,60,80,72,100,100,119,137,79,76,1000,2654.17,2006,608
Assam,21,,76,122,69,91,93,111,148,94,103,40,32,1000,2189.15,30405,832
Bihar,106,,84,196,157,117,76,72,68,64,45,10,5,1000,1506.58,90434,1270
Chhattisgarh,118,,82,137,122,87,86,86,81,67,71,38,25,1000,1867.86,54134,734
Delhi,6,,1,30,48,61,97,122,138,127,164,88,116,1000,3298.47,121914,882
Goa,0,,8,22,30,40,126,98,113,156,247,111,50,1000,3051.19,6275,288
Gujarat,2,,8,52,75,86,93,137,131,177,151,52,36,1000,2581.28,221525,1717
Haryana,8,,5,49,27,58,63,120,124,154,182,77,132,1000,3817.33,73343,1166
Himachal Pradesh,0,,1,42,29,34,65,75,150,192,201,146,65,1000,3258.54,7088,383
Jammu & Kashmir,15,,8,72,90,68,109,150,106,147,142,59,34,1000,2485.34,22037,1355
Jharkhand,63,,46,119,95,95,82,147,87,132,88,25,21,1000,2018.29,59158,980
Karnataka,21,,21,83,86,96,82,79,83,135,162,62,89,1000,3025.52,194572,2048
Kerala,8,,11,36,73,93,88,109,113,147,139,88,95,1000,3408.45,83911,1854
Madhya Pradesh,58,,71,127,131,103,93,97,86,81,73,46,32,1000,2058.02,164838,1981
Maharashtra,3,,14,27,44,64,98,128,129,155,169,95,74,1000,3189.14,474919,4013
Manipur,24,,113,79,215,257,97,68,67,53,22,5,0,1000,1482.63,6407,1184
Meghalaya,0,,0,78,41,43,61,174,237,166,143,44,12,1000,2435.66,5327,404
Mizoram,0,,1,31,81,54,69,124,155,217,181,74,12,1000,2567.72,4596,896
Nagaland,0,,0,67,104,100,83,115,140,189,155,44,3,1000,2284.43,4260,352
Odisha,82,,89,115,126,128,71,86,81,70,79,43,30,1000,1940.61,57412,1052
Punjab,1,,18,41,58,79,94,135,140,128,182,65,59,1000,2794.02,92855,1566
