"(1)",(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12)
Andhra Pradesh,673,788,922,1040,1149,1282,1406,1591,1886,2448,3013
Arunachal Pradesh,498,584,688,789,945,1150,1406,1716,2192,3111,4243
Assam,551,621,712,770,841,915,1004,1123,1298,1568,1895
Bihar,516,566,667,735,811,895,972,1097,1258,1497,1933
Chhattisgarh,398,463,538,587,646,727,824,925,1118,1471,1910
Delhi,708,925,1130,1571,1828,2225,2482,3136,3604,3643,3952
Goa,1118,1205,1343,1620,1928,2141,2393,2686,3430,4036,4798
Gujarat,712,774,882,958,1069,1215,1340,1505,1719,2178,2793
Haryana,745,890,1131,1299,1500,1679,1825,2042,2413,2849,3555
Himachal Pradesh,756,859,1009,1163,1281,1442,1619,1854,2200,2830,3573
Jammu & Kashmir,681,809,983,1122,1251,1376,1515,1703,1984,2414,2933
Jharkhand,461,520,591,655,715,785,866,977,1122,1378,1614
Karnataka,646,705,802,869,957,1048,1176,1356,1564,2062,2634
Kerala,821,943,1103,1260,1472,1672,1880,2173,2640,3634,5223
Madhya Pradesh,423,502,610,708,801,900,984,1111,1319,1657,2096
Maharashtra,591,714,858,964,1069,1192,1327,1487,1726,2229,2821
Manipur,727,788,895,981,1041,1129,1241,1382,1545,1794,2253
Meghalaya,726,776,922,1001,1074,1176,1257,1381,1548,1862,2306
Mizoram,584,686,830,930,1033,1129,1224,1423,1658,2144,2736
Nagaland,890,1041,1211,1324,1469,1568,1721,1927,2160,2496,3059
Odisha,412,467,553,618,692,752,846,944,1108,1380,1700
Punjab,884,1031,1201,1333,1484,1647,1865,2164,2683,3408,4462
Rajasthan,600,745,906,1054,1141,1245,1372,1559,1798,2190,2578
Sikkim,797,858,969,1060,1166,1228,1323,1483,1675,2108,2457
Tamil Nadu,665,755,876,979,1089,1221,1351,1568,1839,2311,3052
Tripura,596,666,749,830,907,990,1081,1216,1372,1708,2002
Uttar Pradesh,488,553,648,730,811,892,980,1109,1284,1664,2057
Uttarakhand,714,803,915,1024,1102,1250,1376,1549,1815,2358,3259
West Bengal,550,622,721,808,898,979,1102,1236,1452,1773,2145
A&N Islands,911,1024,1341,1584,1841,1913,2293,2545,2960,4220,4819
Chandigarh,1287,1476,1579,1619,1757,2028,2239,2441,2717,4626,4818
Dadra & N. Haveli,315,509,558,585,620,729,795,1026,1233,1876,2323
Daman Diu,1119,1367,1559,1814,1872,1898,2025,2362,2859,3816,3954
Lakshadweep,1178,1251,1410,1682,1740,2095,2302,2620,3287,7310,7892
Puducherry,961,1058,1349,1577,1739,1850,2004,2178,2533,2899,3809
All-India,526,599,722,826,923,1036,1167,1336,1583,2054,2626
