"(1)",(2),,(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13),(14),(15),(16),(17)
Andhra Pradesh,2,,0,15,21,30,59,97,125,200,217,132,101,1000,1753.96,551484,3925
Arunachal Pradesh,11,,20,80,53,66,96,77,95,104,120,89,189,1000,1781.74,8614,1066
Assam,13,,10,86,102,97,150,115,139,125,96,44,23,1000,1218.57,244090,2607
Bihar,21,,25,88,95,121,154,146,122,100,90,29,10,1000,1126.75,823009,3310
Chhattisgarh,48,,77,125,124,135,151,85,89,75,55,20,16,1000,1026.73,184547,1440
Delhi,0,,0,0,0,0,0,29,86,41,179,306,359,1000,2762.11,11351,63
Goa,0,,0,0,1,8,0,4,66,144,196,234,348,1000,2407.88,6535,159
Gujarat,15,,2,28,33,74,80,125,143,177,153,93,75,1000,1535.66,333879,1712
Haryana,0,,3,5,15,15,37,50,87,126,229,187,247,1000,2176.04,171098,1423
Himachal Pradesh,0,,2,11,20,16,54,70,106,159,225,169,168,1000,2034.15,57196,1657
Jammu & Kashmir,2,,11,13,25,25,45,81,138,190,235,133,102,1000,1742.64,74013,2032
Jharkhand,45,,47,129,152,108,148,135,93,73,46,11,13,1000,1005.55,219944,1757
Karnataka,0,,2,23,56,80,85,106,161,183,152,70,81,1000,1561.28,368522,2048
Kerala,1,,1,6,10,21,28,60,78,117,198,184,296,1000,2668.73,233162,2608
Madhya Pradesh,60,,51,100,112,112,100,111,107,82,101,33,32,1000,1152.39,483184,2735
Maharashtra,14,,3,13,37,43,83,109,158,187,182,90,84,1000,1619.22,575668,4031
Manipur,0,,0,15,60,49,73,118,180,177,182,92,55,1000,1501.89,17281,1376
Meghalaya,0,,4,22,14,33,107,125,174,202,207,70,41,1000,1474.78,21825,856
Mizoram,7,,9,14,35,61,49,124,131,132,217,120,102,1000,1643.69,5128,640
Nagaland,0,,0,0,0,0,8,19,84,149,370,206,163,1000,2058.58,7523,672
Odisha,66,,68,132,154,125,106,97,85,78,56,19,13,1000,1002.61,330183,2974
Punjab,0,,0,0,9,8,25,53,84,133,221,196,271,1000,2344.66,159842,1552
