"(1)",(2),(3),(4),(5),(6),(7),(8),(9)
1.,cereal,178.59,187.08,197.88,211.16,220.71,224.51,173.82
2.,gram,2.74,3.36,3.91,3.88,4.62,5.43,2.90
3.,cereal substitutes,1.55,1.43,1.65,1.67,2.34,1.65,1.23
4.,pulses and pulse products,52.74,54.94,61.04,64.87,71.10,71.06,50.76
5.,milk and milk products,185.76,209.15,244.58,277.26,347.87,420.80,184.31
6.,sugar,28.55,30.18,31.61,33.47,38.18,37.49,27.35
7.,salt,2.88,2.95,3.06,3.18,3.31,3.20,2.76
8.,edible oil,73.31,78.19,83.25,88.53,96.72,102.55,70.03
9.,"egg, fish & meat",93.95,104.96,114.03,150.04,161.47,200.76,95.99
10.,vegetables,126.35,136.77,146.70,159.44,178.77,197.38,121.70
11.,fruits (fresh),59.47,73.85,91.23,118.71,162.51,244.30,69.51
12.,fruits (dry),16.86,20.03,25.99,36.47,53.38,79.72,20.61
13.,spices,66.73,68.99,75.77,81.39,87.40,92.77,63.73
14.,"beverages, refreshments, etc.",168.34,211.17,261.95,346.53,517.34,1177.52,236.18
15.,food: total (1-14),1057.81,1183.05,1342.64,1576.60,1945.69,2859.12,1120.88
16,"pan, tobacco & intoxicants",39.77,48.77,47.18,55.60,66.81,96.22,42.30
17.,fuel and light,163.95,180.70,205.58,237.89,298.36,417.79,175.86
18.,clothing & bedding,126.46,144.02,165.83,201.82,280.77,430.40,141.09
19.,footwear,23.86,27.98,31.25,39.49,51.84,81.98,26.34
20.,education,125.49,158.01,220.37,326.22,491.57,908.12,181.50
21.,medical (institutional),32.31,46.27,56.00,89.32,127.27,317.49,51.44
22.,medical (non-institutional),87.38,94.08,114.81,142.94,215.45,341.11,94.27
23.,entertainment,36.22,42.45,48.12,64.42,88.98,172.30,42.24
24.,minor durable-type goods,5.19,8.38,8.04,13.04,23.67,36.43,7.91
25.,toilet articles,50.52,58.04,66.83,79.40,102.28,159.67,55.39
26.,other household consumables,42.50,49.63,57.78,69.75,90.69,126.00,46.71
27.,consum. services excl. conveyance,91.72,118.88,157.71,227.01,377.19,854.18,147.21
28.,conveyance,124.14,160.10,207.52,275.22,433.89,931.06,171.46
29.,rent,100.65,129.38,184.50,261.26,386.22,1163.99,164.17
30.,taxes & cesses,15.93,18.88,26.16,35.80,48.69,98.66,21.54
31.,durable goods,56.64,79.32,122.55,196.84,320.71,1287.30,139.36
32.,non-food: total (16-31),1122.72,1364.90,1720.22,2316.01,3404.37,7422.71,1508.78
33.,total expenditure (15+32),2180.52,2547.94,3062.85,3892.60,5350.06,10281.84,2629.65
34.,cooked meals recd. free in workpl.*,3.99,5.83,5.69,8.33,21.77,38.52,5.97
35.,cooked meals recd. as assistance *,8.80,7.11,6.83,2.58,2.32,1.23,8.77
36.,clothing & footwear (2nd hand) **,0.34,0.32,0.29,0.23,0.24,0.92,0.47
37.,"books, journals, etc. (2nd hand) @",0.50,0.52,0.84,1.15,1.11,1.44,0.64
38.,durables (2nd hand) $,2.16,2.03,2.79,5.42,14.91,39.63,4.41
