"(1)",(2),(3),(4),(5),(6),(7),(8)
1.,cereal,153.89,183.29,129.53,152.17,207.85,164.20
2.,gram,6.28,0.09,1.18,3.48,0.45,1.17
3.,cereal substitutes,0.20,0.36,0.05,0.00,0.03,1.35
4.,pulses and pulse products,46.30,24.45,40.93,55.39,26.20,57.32
5.,milk and milk products,92.45,31.72,119.67,190.16,33.07,78.61
6.,sugar,13.18,8.69,25.10,31.71,15.77,12.55
7.,salt,2.70,3.73,1.92,2.53,2.52,3.38
8.,edible oil,35.74,43.63,44.79,57.83,54.44,108.90
9.,"egg, fish & meat",73.66,145.54,19.01,28.38,100.95,210.83
10.,vegetables,62.08,91.98,57.09,66.80,79.32,221.02
11.,fruits (fresh),32.86,13.22,12.29,20.46,15.94,41.83
12.,fruits (dry),3.06,0.62,4.01,5.40,0.98,6.28
13.,spices,46.16,24.51,22.45,26.19,27.73,70.56
14.,"beverages, refreshments, etc.",125.20,59.22,52.50,94.91,74.68,197.68
15.,food: total (1-14),693.77,631.05,530.52,735.41,639.92,1175.67
16,"pan, tobacco & intoxicants",37.84,58.23,21.57,41.70,24.13,104.01
17.,fuel and light,103.80,97.84,102.95,131.48,117.67,152.39
18.,clothing & bedding,78.45,51.33,65.64,96.42,64.70,139.01
19.,footwear,8.63,7.80,13.85,23.77,9.80,17.91
20.,education,68.73,56.85,41.96,72.76,41.56,46.19
21.,medical (institutional),17.27,2.89,22.10,4.41,16.13,12.48
22.,medical (non-institutional),86.76,42.70,69.74,49.00,68.94,15.90
23.,entertainment,30.15,14.12,5.85,21.74,10.00,35.28
24.,minor durable-type goods,3.06,2.36,2.99,5.75,2.68,9.73
25.,toilet articles,42.83,22.76,23.43,32.41,26.86,92.70
26.,other household consumables,46.80,17.12,20.02,31.41,20.18,65.05
27.,consum. services excl. conveyance,70.09,47.69,43.79,77.59,33.67,112.69
28.,conveyance,112.79,44.19,39.26,77.63,32.31,202.67
29.,rent,16.85,1.50,1.37,15.06,1.83,125.24
30.,taxes & cesses,5.19,0.59,0.32,5.15,0.90,1.26
31.,durable goods,81.79,10.97,41.44,132.07,31.89,149.07
32.,non-food: total (16-31),811.04,478.93,516.29,818.34,503.26,1281.59
33.,total expenditure (15+32),1504.82,1109.97,1046.81,1553.76,1143.18,2457.27
34.,cooked meals recd. free in workpl.*,4.03,0.20,0.72,0.60,2.59,0.00
35.,cooked meals recd. as assistance *,17.68,20.24,10.42,27.10,17.46,33.64
36.,clothing & footwear (2nd hand) **,0.03,0.48,0.18,0.22,0.36,0.00
37.,"books, journals, etc. (2nd hand) @",0.07,0.03,0.21,0.16,0.27,0.00
38.,durables (2nd hand) $,2.03,0.00,2.66,20.86,2.01,0.00
