"(1)",(2),,(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13),(14),(15),(16),(17)
Rajasthan,9,,7,33,29,57,78,89,140,194,201,96,68,1000,1597.50,469065,2579
Sikkim,0,,0,1,5,35,71,126,239,190,173,101,58,1000,1564.91,4202,608
Tamil Nadu,14,,9,37,42,56,59,84,112,176,188,101,123,1000,1692.93,370688,3319
Tripura,5,,12,50,67,84,117,137,145,147,128,70,37,1000,1334.39,29308,1312
Uttar Pradesh,29,,40,107,117,128,112,118,112,90,85,32,29,1000,1156.03,1449724,5915
Uttarakhand,3,,1,2,30,35,78,89,167,181,181,123,110,1000,1725.77,69502,1048
West Bengal,17,,14,53,94,107,119,129,136,135,113,47,35,1000,1290.68,612043,3566
A&N Islands,0,,0,0,5,0,9,19,39,90,287,218,332,1000,2711.62,2276,278
Chandigarh,0,,0,0,0,0,8,0,165,47,232,224,325,1000,2632.97,776,64
Dadra & N. Haveli,2,,84,132,183,90,82,84,115,69,106,32,21,1000,1123.16,1815,96
Daman Diu,0,,0,0,0,0,0,0,0,392,138,180,290,1000,2435.76,891,64
Lakshadweep,0,,0,0,0,0,6,0,28,49,203,296,418,1000,2924.13,299,63
Puducherry,0,,0,0,0,7,29,36,112,136,208,277,196,1000,2173.30,4255,128
All-India,21,,22,63,76,86,98,109,122,132,134,70,68,1000,1429.96,7902921,59683
