"(1)",(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13),(14),(15),(16),(17)
Andhra Pradesh,14,26,63,100,106,113,105,137,112,132,51,41,1000,2501.59,262330,2972
Arunachal Pradesh,71,35,114,98,55,98,86,123,104,129,54,34,1000,2222.53,2016,608
Assam,59,73,124,97,120,132,105,56,81,81,32,40,1000,2026.01,29357,832
Bihar,171,103,167,117,112,96,88,71,29,25,18,3,1000,1408.55,90338,1270
Chhattisgarh,208,132,110,137,44,64,69,83,47,64,22,18,1000,1612.99,51493,734
Delhi,6,29,54,93,88,88,116,111,102,140,95,78,1000,2920.87,116930,887
Goa,6,0,7,72,104,58,74,141,229,215,54,39,1000,2933.22,6511,287
Gujarat,9,20,66,76,107,125,107,133,144,140,50,22,1000,2377.54,225661,1714
Haryana,6,22,66,64,65,104,102,91,152,154,72,101,1000,3253.29,75584,1167
Himachal Pradesh,9,17,28,63,73,81,84,122,182,208,65,68,1000,3134.90,7107,383
Jammu & Kashmir,18,20,101,106,104,117,113,97,100,144,51,28,1000,2290.58,21997,1351
Jharkhand,114,67,152,93,110,104,80,66,99,50,40,26,1000,1957.83,56887,983
Karnataka,46,51,87,76,111,85,88,89,103,101,66,97,1000,2942.11,205221,2046
Kerala,16,17,88,95,111,106,97,86,99,135,68,81,1000,3065.67,82661,1855
Madhya Pradesh,94,101,144,141,112,100,67,52,56,63,35,35,1000,1967.35,167371,1981
Maharashtra,13,24,71,69,101,129,116,126,114,113,58,65,1000,2710.82,482144,4011
Manipur,36,107,139,222,215,108,77,42,36,13,5,0,1000,1393.53,6247,1184
Meghalaya,0,24,83,51,89,125,153,162,161,125,20,6,1000,2158.40,5560,403
Mizoram,2,6,57,89,93,124,136,135,165,129,55,9,1000,2317.75,4503,896
Nagaland,0,3,60,135,69,91,80,172,156,166,49,18,1000,2410.61,4230,352
Odisha,121,80,192,93,103,74,77,53,83,82,21,21,1000,1766.45,56184,1053
Punjab,8,28,70,61,99,91,116,145,157,121,61,46,1000,2631.06,92846,1566
